JobNumber,Dimension,npara,ntrain,FeatureType,Activation,ValLoss
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,1.82
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,Unknown,Unknown,NaN
NaN,Unknown,NaN,,ftb_catonlytGIF,tanh01,0.00011
NaN,Unknown,NaN,,ftb_catonlytGIF,tanh01,9e-05
NaN,Unknown,NaN,,ftb_catonlytGIF,tanh01,6e-05
NaN,Unknown,NaN,,ftb_catonlytGIF,tanh01,5e-05
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00012
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00311
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00219
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00192
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00011
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00141
NaN,Unknown,NaN,,ftc_twithreciGIF,tanh01,0.00104
